0;Fields group;Management of the resource;;;;;;;;;;;;Metadata of the text (description of item);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Link(s) to related resources;;;;;;;;;;;;;
0;;;;;;;;;;;;;;;;;;;;;Text type;;;;Language(s) and script(s);;;;;;;;;;;;Physical form;;;;;;;;;;;Filiation;;;;;;;Rights;;;;;;;;;;;;;;;
0;Fields;Identifier of the resource;Origin of the metadata;Editor of the metadata;Date of the edition;Contributor of the metadata;Date of contribution;Type of contribution;Reviewer;Date of review;Project;Corpus;Distribution rights of the metadata;Identifier of the text;Designation;Alternative identifier;Alternative designation;Alternative designation;Location on the artefact/conglomerate artefact/monument;ID of the artefact/conglomerate artefact/monument;Text type 1;Text type 2;Text type 3;Text type 4;Language 1;Script classification 1;Script maturity 1;Language 2;Script classification 2;Script maturity 2;Language 3;Script classification 3;Script maturity 3;Language 4;Script classification 4;Script maturity 4;Lettering technique;Lines (observed);Lines (estimated);Lines per zone(s);Dimensions of text zone(s);Height of glyph;Width of glyph;Date CE;Date interval CE;Date precision;Date evidence;Duplicate ID;Reissue ID;Reissue date;Bibliographical references (primary);Bibliographical references (secondary);Keyword(s);Remarks;Project responsible for publication;Distribution rights of the text;Identifier of the surrogate;Identifier of the digital image;;;;;;;;;;;;
;;INSCIC00089_3;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00089_3;;C. 89;;;c;ARTCIC000089;;;;;Old Cham;;;;;;;;;;;;engraved;;11;;;;;;;;;;;;BEFEO IV, 946xvi.;Parmentier1909_01: 400.;;"coquille Cœdès 940 pour 946; confusion Finot des faces A+B entre préambule et édition, plus fausse identification comme 'dalle'. Une des petites faces complètement dépourvues de lettres sous inscpection à même la pierre; l'autre extraordinairement effacée, c.-à-d. donnant l'impression de ne pas être inscrite du tout (mais quelques lettre se devinent encore). Le jeu d'est. EFEO soit incomplet, soit confusion dans inv. de 1923, et les 11 lignes de c comprises dans les 36 de B, auquel cas d devient c.";DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00089_4;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00089_4;;C. 89;;;d;ARTCIC000089;;;;;Old Cham;;;;;;;;;;;;engraved;;24;;;;;;;;;;;;BEFEO IV, 946xvi.;Parmentier1909_01: 400.;;"coquille Cœdès 940 pour 946; confusion Finot des faces A+B entre préambule et édition, plus fausse identification comme 'dalle'. Une des petites faces complètement dépourvues de lettres sous inscpection à même la pierre; l'autre extraordinairement effacée, c.-à-d. donnant l'impression de ne pas être inscrite du tout (mais quelques lettre se devinent encore). Le jeu d'est. EFEO soit incomplet, soit confusion dans inv. de 1923, et les 11 lignes de c comprises dans les 36 de B, auquel cas d devient c.";DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00090_5;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00090_5;;C. 90;;;d1;ARTCIC000090;;;;;Old Cham;;;;;;;;;;;;engraved;;4;;;;;;;;;;;;BEFEO IV, 933xii.;Finot1915_01: 6. — Parmentier1909_01: 400.;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00090_2;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00090_2;;C. 90;;;A2;ARTCIC000090;;;;;Old Cham;;;;;;;;;;;;engraved;;5;;;;;;;;;;;;BEFEO IV, 933xii.;Finot1915_01: 6. — Parmentier1909_01: 400.;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00090_1;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00090_1;;C. 90;;;A1;ARTCIC000090;;;;;Sanskrit;;;;;;;;;;;;engraved;;20;;;;;;;;;;;;BEFEO IV, 933xii.;Finot1915_01: 6. — Parmentier1909_01: 400.;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00090_6;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00090_6;;C. 90;;;d2;ARTCIC000090;;;;;Old Cham;;;;;;;;;;;;engraved;;24;;;;;;;;;;;;BEFEO IV, 933xii.;Finot1915_01: 6. — Parmentier1909_01: 400.;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00090_3;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00090_3;;C. 90;;;b;ARTCIC000090;;;;;Old Cham;;;;;;;;;;;;engraved;;27;;;;;;;;;;;;BEFEO IV, 933xii.;Finot1915_01: 6. — Parmentier1909_01: 400.;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00090_4;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00090_4;;C. 90;;;c;ARTCIC000090;;;;;Old Cham;;;;;;;;;;;;engraved;;27;;;;;;;;;;;;BEFEO IV, 933xii.;Finot1915_01: 6. — Parmentier1909_01: 400.;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00091;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00091;;C. 91;;;;ARTCIC000091;;;;;Old Cham;;;;;;;;;;;;engraved;;2;;;;;;;;;;;;BEFEO IV, 954xix.;Parmentier1909_01: 400.;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00092_4;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00092_4;;C. 92;;;c2;ARTCIC000092;;;;;Old Cham;;;;;;;;;;;;engraved;;5;;;;;;;;;;;;BEFEO IV, 970xxiv.;"Finot1915_01: 50. — Parmentier1909_01: 400; Lepoutre2013_01";;la lecture de la date que propose Finot est fausse. Il faut restaurer bhuuta.h pak.sa e[ka] eka = 1125;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00092_3;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00092_3;;C. 92;;;c1;ARTCIC000092;;;;;Old Cham;;;;;;;;;;;;engraved;;10;;;;;;;;;;;;BEFEO IV, 970xxiv.;"Finot1915_01: 50. — Parmentier1909_01: 400; Lepoutre2013_01";;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00092_2;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00092_2;;C. 92;;;B;ARTCIC000092;;;;;Old Cham;;;;;;;;;;;;engraved;;invocation + 23;;;;;;;;;;;;BEFEO IV, 970xxiv.;"Finot1915_01: 50. — Parmentier1909_01: 400; Lepoutre2013_01";;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00092_1;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00092_1;;C. 92;;;A;ARTCIC000092;;;;;Old Cham;;;;;;;;;;;;engraved;;invocation + 21;;;;;;;;;;;;BEFEO IV, 970xxiv.;"Finot1915_01: 50. — Parmentier1909_01: 400; Lepoutre2013_01";;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00093;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00093;;C. 93;;;;ARTCIC000093;;;;;Sanskrit;;;;;;;;;;;;engraved;;19;;;;;;;;;;;;BEFEO IV, 940xiii.;Finot1915_01: 7. — Parmentier1909_01: 419.;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00094_2;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00094_2;;C. 94;;;B;ARTCIC000094;;;;;Old Cham;;;;;;;;;;;;engraved;;20;;;;;;;;;;;;BEFEO IV, 941xiv.;Finot1915_01: 7. — Parmentier1909_01: 419.;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00094_1;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00094_1;;C. 94;;;A;ARTCIC000094;;;;;Old Cham;;;;;;;;;;;;engraved;;21;;;;;;;;;;;;BEFEO IV, 941xiv.;Finot1915_01: 7. — Parmentier1909_01: 419.;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00095_1;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00095_1;;C. 95;;;A;ARTCIC000095;;;;;Old Cham;;;;;;;;;;;;engraved;;22;;;;;;;;;;;;BEFEO IV, 943xv.;Finot1915_01: 7. — Parmentier1909_01: 420.;;"le piédroit a largement été décapité par rapport à son état enregistré dans la forme des estampages EFEO; un fragment (inventorié sous le même no. dans le musée) comportant l'extrémité gauche du haut de la face B (lignes 1-6) est tout ce qui semble rester de la partie supérieure du piédroit.";DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00095_2;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00095_2;;C. 95;;;B;ARTCIC000095;;;;;Old Cham;;;;;;;;;;;;engraved;;22;;;;;;;;;;;;BEFEO IV, 943xv.;Finot1915_01: 7. — Parmentier1909_01: 420.;;"le piédroit a largement été décapité par rapport à son état enregistré dans la forme des estampages EFEO; un fragment (inventorié sous le même no. dans le musée) comportant l'extrémité gauche du haut de la face B (lignes 1-6) est tout ce qui semble rester de la partie supérieure du piédroit.";DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00096_1;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00096_1;;C. 96;;;A;ARTCIC000096;;;;;Sanskrit;;;;;;;;;;;;engraved;;27;;;;;;;;;;;;BEFEO IV, 918iii.;"BEFEO XII (8), 15 ; XV (2), 188. — Parmentier1909_01: 419.";;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00096_2;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00096_2;;C. 96;;;B;ARTCIC000096;;;;;Sanskrit;;;;;;;;;;;;engraved;;28;;;;;;;;;;;;BEFEO IV, 918iii.;"BEFEO XII (8), 15 ; XV (2), 188. — Parmentier1909_01: 419.";;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00097;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00097;;C. 97;;;;ARTCIC000097;;;;;Sanskrit;;;;;;;;;;;;engraved;;1;;;;;;;;;;;;BEFEO IV, 930viii.;Parmentier1909_01: 419.;;Estampage 342 manque à Paris.;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00098;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00098;;C. 98;;;le long du mur sud;ARTCIC000098;;;;;Unknown;;;;;;;;;;;;engraved;;;;;;;;;;;;;;;BEFEO IV, 977xxvi.;;"Fragments inscrits de quelques lettres. photos de l'estampage dLdL faites. Selon l'est., ""le long du mur sud"".";DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00099_2;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00099_2;;C. 99;;;B;ARTCIC000099;;;;;Sanskrit;;;;;;;;;;;;engraved;;22 illisibles;;;;;;;;;;;;BEFEO IV, 930ix.;Parmentier1909_01: 427.;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00099_1;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00099_1;;C. 99;;;A;ARTCIC000099;;;;;Sanskrit;;;;;;;;;;;;engraved;;invocation + 18;;;;;;;;;;;;BEFEO IV, 930ix.;Parmentier1909_01: 427.;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00100_1;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00100_1;;C. 100;;;A;ARTCIC000100;;;;;Sanskrit;;;;;;;;;;;;engraved;;19;;;;;;;;;;;;BEFEO IV, 930ix.;Parmentier1909_01: 427.;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00100_2;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00100_2;;C. 100;;;B1;ARTCIC000100;;;;;Sanskrit;;;;;;;;;;;;engraved;;22;;;;;;;;;;;;BEFEO IV, 930ix.;Parmentier1909_01: 427.;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00100_3;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00100_3;;C. 100;;;B2;ARTCIC000100;;;;;Old Cham;;;;;;;;;;;;engraved;;2;;;;;;;;;;;;BEFEO IV, 930ix.;Parmentier1909_01: 427.;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00100_4;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00100_4;;C. 100;;;c;ARTCIC000100;;;;;Old Cham;;;;;;;;;;;;engraved;;25;;;;;;;;;;;;BEFEO IV, 930ix.;Parmentier1909_01: 427.;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00101_1;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00101_1;;C. 101;;;A;ARTCIC000101;;;;;Old Cham;;;;;;;;;;;;engraved;;20;;;;;;;;;;;;BEFEO IV, 963xxi.;Finot1915_01: 6. — Parmentier1909_01: 433.;;incohérence entre nom attribué par BTLSH et inv. 1942;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00101_2;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00101_2;;C. 101;;;B;ARTCIC000101;;;;;Old Cham;;;;;;;;;;;;engraved;;21;;;;;;;;;;;;BEFEO IV, 963xxi.;Finot1915_01: 6. — Parmentier1909_01: 433.;;incohérence entre nom attribué par BTLSH et inv. 1942;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00101_3;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00101_3;;C. 101;;;c;ARTCIC000101;;;;;Old Cham;;;;;;;;;;;;engraved;;9 illisibles;;;;;;;;;;;;BEFEO IV, 963xxi.;Finot1915_01: 6. — Parmentier1909_01: 433.;;incohérence entre nom attribué par BTLSH et inv. 1942;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00102;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00102;;C. 102;;;;ARTCIC000102;;;;;Unknown;;;;;;;;;;;;engraved;;;;;;;;;;;;;;;BEFEO IV, 977xxvi.;;"photos des estampages dLdL faites ; selon la photo, il s'agit de 4 inscriptions probablement identifiable parmi, ou appartenant au même type que celui des objets en terre cuite (re)trouvés à G1";DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00103;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00103;;C. 103;;;;ARTCIC000103;;;;;Unknown;;;;;;;;;;;;engraved;;quelques mots;;;;;;;;;;;;;BEFEO IV, 977xxvi.;;Cœdès 1923, p. 151 n. 6 : « C. 103. — Un certain nombre de débris d'estampages de Mĩ-sơn sont groupés sous la cote 344 bis. » Photos des estampages dLdL faites.;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00104;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00104;;C. 104;;;;ARTCIC000104;;;;;Unknown;;;;;;;;;;;;engraved;;;;;;;;;;;;;;;Parmentier1909_01: 286.;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00105;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00105;;C. 105;;;;ARTCIC000105;;;;;Sanskrit;;;;;;;;;;;;engraved;;1 1/2;;;;;;;;;;;;BEFEO II, 186.;JA 1896 (1), 149. — Parmentier1909_01: 308.;;La photo de la Fondation Lerici publiée Champa and the Archaeology of My Son, p. 198, n'appartient pas a cette inscription mais a C. 147.;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00106;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;sapi;2021-12-06;completion;sapi$argr;2022-01-07;DHARMA;CIC;CC0;INSCIC00106;;C. 106;;;front (A), back (B) and left (c);ARTCIC000106;inaugurative - installation_religious_image;;;;Sanskrit;brahmi_and_derivatives - southeast_asian_brahmi - cam_script;vernacular Brahmi-derived script;Old Cham;brahmi_and_derivatives - southeast_asian_brahmi - cam_script;vernacular Brahmi-derived script;;;;;;;engraved;46;46;A:16§B:18§c:12;;;;;0898-0899;low;internal date;;;;Finot1904_01: 99-105 ;BEFEO003_1903: 526$Coedes1908_01: 47 (no. 106)$Parmentier1909_01: 308$Huber1911_01: 297 n. 2$Finot1915_01: 17$Coedes1923_01: 24-25 (no. 106)$Majumdar1927_01: part III, 94-98$Golzio2004_01: 78-82;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00107_1;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;sapi;2022-01-07;completion;sapi$argr;2022-01-14;DHARMA;CIC;CC0;INSCIC00107_1;;C. 107.1;;;front (A), back (B);ARTCIC000107;unknown_text_type;;;;Sanskrit;brahmi_and_derivatives - southeast_asian_brahmi - cam_script;vernacular Brahmi-derived script;Old Cham;brahmi_and_derivatives - southeast_asian_brahmi - cam_script;vernacular Brahmi-derived script;;;;;;;engraved;81;44;A:22§B:22;;;;;0910-0911;low;internal date;;;;;Coedes1908_01: 47 (no. 107)$Parmentier1909_01: 309-310$Huber1911_01: 285$Coedes1923_01: 24-25 (no. 107)$Majumdar1927_01: part III, 121$Golzio2004_01: 106;;The lines counts include the invocation(s).;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00107_2;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;sapi;2022-01-07;completion;sapi$argr;2022-01-14;DHARMA;CIC;CC0;INSCIC00107_2;;C. 107.2;;;Sides (c, d) ;ARTCIC000107;unknown_text_type;;;;Sanskrit;brahmi_and_derivatives - southeast_asian_brahmi - cam_script;vernacular Brahmi-derived script;Old Cham;brahmi_and_derivatives - southeast_asian_brahmi - cam_script;vernacular Brahmi-derived script;;;;;;;engraved;81;37;c:16§d:21;;;;;1192-1203;low;reign;;;;;Coedes1908_01: 47 (no. 107)$Parmentier1909_01: 309-310$Huber1911_01: 285$Coedes1923_01: 24-25 (no. 107)$Majumdar1927_01: part III, 121$Golzio2004_01: 106;;The lines counts include invocations. Huber mistakenly ascribes this inscription to the 11th c. Śaka.;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00108_1;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;sapi;2022-01-19;completion;;;DHARMA;CIC;CC0;INSCIC00108_1;;C. 108.1;;;front (A), back (B) and sides (c, d);ARTCIC000108;inaugurative - installation_religious_image;;;;Sanskrit;brahmi_and_derivatives - southeast_asian_brahmi - cam_script;vernacular Brahmi-derived script;Old Cham;brahmi_and_derivatives - southeast_asian_brahmi - cam_script;vernacular Brahmi-derived script;;;;;;;engraved;49;45;A:13§B:12§c:11§d:9;A:70x61$B:66x58$c:46x12$d:53x13;1,5;2;;889-890;low;internal date;;;;Huber1911_01: 269-277;Aymonier1896_02: 150$Aymonier1896_03: 93$Coedes1908_01: 47 (no. 108)$Parmentier1909_01: 316$Finot1915_01: 12$Coedes1923_01: 26-27 (no. 108)$Majumdar1927_01: part III, 89-92$Golzio2004_01: 73-77;;"the photo set of estampages is incomplete; due to the arrangement of the stele in the reserve of the BTLS Hanoi the lower lines on three sides are hidden.";DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00108_2;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;sapi;2022-01-19;completion;;;DHARMA;CIC;CC0;INSCIC00108_2;;C. 108.2;;;top (e) ;ARTCIC000108;donative;;;;Sanskrit;brahmi_and_derivatives - southeast_asian_brahmi - cam_script;vernacular Brahmi-derived script;;;;;;;;;;engraved;49;4;e:4;;;;;;low;reign;;;;Huber1911_01: 269-277;Aymonier1896_02: 150$Aymonier1896_03: 93$Coedes1908_01: 47 (no. 108)$Parmentier1909_01: 316$Finot1915_01: 12$Coedes1923_01: 26-27 (no. 108)$Majumdar1927_01: part III, 89-92$Golzio2004_01: 73-77;;"the photo set of estampages is incomplete; due to the arrangement of the stele in the reserve of the BTLS Hanoi the lower lines on three sides are hidden.";DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00108_1;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00108_1;;C. 108;;;A;ARTCIC000108;;;;;Sanskrit;;;;;;;;;;;;engraved;;invocation + 12;;;;;;;;;;;;BEFEO IX, 269.;JA 1896 (1), 150. — BGHD 1896, 93. — Finot1915_01: 12. — Parmentier1909_01: 316.;;"le jeu de photos d'estampages est incomplet; à cause du montage de la stèle dans la réserve du BTLS Hanoi les lignes inférieures sur trois faces sont cachées.";DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00108_2;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00108_2;;C. 108;;;B1;ARTCIC000108;;;;;Sanskrit;;;;;;;;;;;;engraved;;2;;;;;;;;;;;;BEFEO IX, 269.;JA 1896 (1), 150. — BGHD 1896, 93. — Finot1915_01: 12. — Parmentier1909_01: 316.;;"le jeu de photos d'estampages est incomplet; à cause du montage de la stèle dans la réserve du BTLS Hanoi les lignes inférieures sur trois faces sont cachées.";DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00108_3;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00108_3;;C. 108;;;B2;ARTCIC000108;;;;;Old Cham;;;;;;;;;;;;engraved;;10;;;;;;;;;;;;BEFEO IX, 269.;JA 1896 (1), 150. — BGHD 1896, 93. — Finot1915_01: 12. — Parmentier1909_01: 316.;;"le jeu de photos d'estampages est incomplet; à cause du montage de la stèle dans la réserve du BTLS Hanoi les lignes inférieures sur trois faces sont cachées.";DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00108_4;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00108_4;;C. 108;;;c;ARTCIC000108;;;;;Old Cham;;;;;;;;;;;;engraved;;11;;;;;;;;;;;;BEFEO IX, 269.;JA 1896 (1), 150. — BGHD 1896, 93. — Finot1915_01: 12. — Parmentier1909_01: 316.;;"le jeu de photos d'estampages est incomplet; à cause du montage de la stèle dans la réserve du BTLS Hanoi les lignes inférieures sur trois faces sont cachées.";DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00108_5;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00108_5;;C. 108;;;d;ARTCIC000108;;;;;Old Cham;;;;;;;;;;;;engraved;;9;;;;;;;;;;;;BEFEO IX, 269.;JA 1896 (1), 150. — BGHD 1896, 93. — Finot1915_01: 12. — Parmentier1909_01: 316.;;"Peut-être la datation « Postérieure à la précédente inscription » n'appartient qu'à C. 108e. – le jeu de photos d'estampages est incomplet; à cause du montage de la stèle dans la réserve du BTLS Hanoi les lignes inférieures sur trois faces sont cachées.";DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00108_6;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00108_6;;C. 108;;;e;ARTCIC000108;;;;;Old Cham;;;;;;;;;;;;engraved;;2+2;;;;;;;;;;;;BEFEO IX, 269.;JA 1896 (1), 150. — BGHD 1896, 93. — Finot1915_01: 12. — Parmentier1909_01: 316.;;"le jeu de photos d'estampages est incomplet; à cause du montage de la stèle dans la réserve du BTLS Hanoi les lignes inférieures sur trois faces sont cachées.";DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00109;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00109;;C. 109;;;;ARTCIC000109;;;;;Old Cham;;;;;;;;;;;;engraved;;environ 36 lignes illisibles sur 3 faces;;;;;;;;;;;;;Parmentier1909_01: 511.;;nous ne comptons pas 40 mais plutôt 36/37 lignes par face;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00110;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00110;;C. 110;;;;ARTCIC000110;;;;;Old Cham;;;;;;;;;;;;engraved;;"environ 38 lignes sur la face A; un nombre à peu près pareil sur la face B (illisible)";;;;;;;;;;;;;BEFEO XI, 260 n. — Parmentier1909_01: 511.;;"la date 1111 lue par Huber est fort probablement un fantôme; Huber a probablement vu un chiffre donnant une quantité de jāk et l'a mal interprété comme date; l'estampage 274 saute les 4 premières lignes. Nous n'avons trouvé que 2 faces inscrites, pas 3. Seule la face ant. figure sur l'estampage; la face lat. inscrite est totalement illsible.";DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00111;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00111;;C. 111;;;;ARTCIC000111;;;;;Sanskrit;;;;;;;;;;;;engraved;;7;;;;;;;;;;;;BEFEO XI, 259.;"BEFEO V, 193 ; XV (2), 18. — Parmentier1909_01: 515.";;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00112;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;sapi;2022-01-20;completion;;;DHARMA;CIC;CC0;INSCIC00112;;C. 112;;;front (A), back (B) and side (c);ARTCIC000112;;;;;Sanskrit;brahmi_and_derivatives - southeast_asian_brahmi - cam_script;vernacular Brahmi-derived script;Old Cham;brahmi_and_derivatives - southeast_asian_brahmi - cam_script;vernacular Brahmi-derived script;;;;;;;engraved;49;49;A:19§B:16§c:14;;;;;908-909;low;;;;;Huber1911_01: 283-284;Aymonier1898_01: 360$Coedes1908_01: 48 (no. 112)$Parmentier1909_01: 515$Coedes1923_01: 26-27 (no. 112)$NguyễnVănQuảng2012: 68;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
